Test data #1: Predicted Class: p, Confidence: 100%, Correct.
Test data #118: Predicted Class: p, Confidence: 100%, Correct.
Test data #119: Predicted Class: p, Confidence: 100%, Correct.
Test data #120: Predicted Class: p, Confidence: 100%, Correct.
Test data #121: Predicted Class: p, Confidence: 100%, Correct.
Test data #122: Predicted Class: p, Confidence: 100%, Correct.
Test data #123: Predicted Class: p, Confidence: 100%, Correct.
Test data #124: Predicted Class: p, Confidence: 100%, Correct.
Test data #125: Predicted Class: p, Confidence: 100%, Correct.
Test data #126: Predicted Class: p, Confidence: 100%, Correct.
Test data #127: Predicted Class: p, Confidence: 100%, Correct.
Test data #128: Predicted Class: p, Confidence: 100%, Correct.
Test data #129: Predicted Class: p, Confidence: 100%, Correct.
Test data #130: Predicted Class: p, Confidence: 100%, Correct.
Test data #131: Predicted Class: p, Confidence: 100%, Correct.
Test data #132: Predicted Class: p, Confidence: 100%, Correct.
Test data #133: Predicted Class: p, Confidence: 100%, Correct.
Test data #134: Predicted Class: p, Confidence: 100%, Correct.
Test data #135: Predicted Class: p, Confidence: 100%, Correct.
Test data #136: Predicted Class: p, Confidence: 100%, Correct.
Test data #137: Predicted Class: p, Confidence: 100%, Correct.
Test data #138: Predicted Class: p, Confidence: 100%, Correct.
Test data #139: Predicted Class: p, Confidence: 100%, Correct.
Test data #140: Predicted Class: p, Confidence: 100%, Correct.
Test data #141: Predicted Class: p, Confidence: 100%, Correct.
Test data #142: Predicted Class: p, Confidence: 100%, Correct.
Test data #143: Predicted Class: p, Confidence: 100%, Correct.
Test data #144: Predicted Class: p, Confidence: 100%, Correct.
Test data #145: Predicted Class: p, Confidence: 100%, Correct.
Test data #146: Predicted Class: p, Confidence: 100%, Correct.
Test data #147: Predicted Class: p, Confidence: 100%, Correct.
Test data #148: Predicted Class: p, Confidence: 100%, Correct.
Test data #149: Predicted Class: p, Confidence: 100%, Correct.
Test data #150: Predicted Class: p, Confidence: 100%, Correct.
Test data #151: Predicted Class: p, Confidence: 100%, Correct.
Test data #152: Predicted Class: p, Confidence: 100%, Correct.
Test data #153: Predicted Class: p, Confidence: 100%, Correct.
Test data #154: Predicted Class: p, Confidence: 100%, Correct.
Test data #155: Predicted Class: p, Confidence: 100%, Correct.
Test data #156: Predicted Class: p, Confidence: 100%, Correct.
Test data #157: Predicted Class: p, Confidence: 100%, Correct.
Test data #158: Predicted Class: p, Confidence: 100%, Correct.
Test data #159: Predicted Class: p, Confidence: 100%, Correct.
Test data #160: Predicted Class: p, Confidence: 100%, Correct.
Test data #161: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #162: Predicted Class: p, Confidence: 100%, Correct.
Test data #163: Predicted Class: p, Confidence: 100%, Correct.
Test data #164: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #165: Predicted Class: p, Confidence: 100%, Correct.
Test data #166: Predicted Class: p, Confidence: 100%, Correct.
Test data #167: Predicted Class: p, Confidence: 100%, Correct.
Test data #168: Predicted Class: p, Confidence: 100%, Correct.
Test data #169: Predicted Class: e, Confidence: 68.86%, Wrong.
Test data #170: Predicted Class: p, Confidence: 100%, Correct.
Test data #171: Predicted Class: p, Confidence: 100%, Correct.
Test data #172: Predicted Class: p, Confidence: 100%, Correct.
Test data #173: Predicted Class: p, Confidence: 100%, Correct.
Test data #174: Predicted Class: p, Confidence: 100%, Correct.
Test data #175: Predicted Class: p, Confidence: 100%, Correct.
Test data #176: Predicted Class: p, Confidence: 100%, Correct.
Test data #177: Predicted Class: p, Confidence: 100%, Correct.
Test data #178: Predicted Class: p, Confidence: 100%, Correct.
Test data #179: Predicted Class: p, Confidence: 100%, Correct.
Test data #180: Predicted Class: p, Confidence: 100%, Correct.
Test data #181: Predicted Class: p, Confidence: 100%, Correct.
Test data #182: Predicted Class: p, Confidence: 100%, Correct.
Test data #183: Predicted Class: p, Confidence: 100%, Correct.
Test data #184: Predicted Class: p, Confidence: 100%, Correct.
Test data #185: Predicted Class: p, Confidence: 100%, Correct.
Test data #186: Predicted Class: p, Confidence: 100%, Correct.
Test data #187: Predicted Class: p, Confidence: 100%, Correct.
Test data #188: Predicted Class: p, Confidence: 100%, Correct.
Test data #189: Predicted Class: p, Confidence: 100%, Correct.
Test data #190: Predicted Class: p, Confidence: 100%, Correct.
Test data #191: Predicted Class: p, Confidence: 100%, Correct.
Test data #192: Predicted Class: p, Confidence: 100%, Correct.
Test data #193: Predicted Class: p, Confidence: 100%, Correct.
Test data #194: Predicted Class: p, Confidence: 100%, Correct.
Test data #195: Predicted Class: p, Confidence: 100%, Correct.
Test data #196: Predicted Class: p, Confidence: 100%, Correct.
Test data #197: Predicted Class: p, Confidence: 100%, Correct.
Test data #198: Predicted Class: p, Confidence: 100%, Correct.
Test data #199: Predicted Class: p, Confidence: 100%, Correct.
Test data #200: Predicted Class: p, Confidence: 100%, Correct.
Test data #201: Predicted Class: p, Confidence: 100%, Correct.
Test data #202: Predicted Class: p, Confidence: 100%, Correct.
Test data #203: Predicted Class: p, Confidence: 100%, Correct.
Test data #204: Predicted Class: p, Confidence: 100%, Correct.
Test data #205: Predicted Class: p, Confidence: 100%, Correct.
Test data #206: Predicted Class: p, Confidence: 100%, Correct.
Test data #207: Predicted Class: p, Confidence: 100%, Correct.
Test data #208: Predicted Class: p, Confidence: 100%, Correct.
Test data #209: Predicted Class: p, Confidence: 100%, Correct.
Test data #210: Predicted Class: p, Confidence: 100%, Correct.
Test data #211: Predicted Class: p, Confidence: 100%, Correct.
Test data #212: Predicted Class: p, Confidence: 100%, Correct.
Test data #213: Predicted Class: p, Confidence: 100%, Correct.
Test data #214: Predicted Class: p, Confidence: 100%, Correct.
Test data #215: Predicted Class: p, Confidence: 100%, Correct.
Test data #216: Predicted Class: p, Confidence: 100%, Correct.
Test data #217: Predicted Class: p, Confidence: 100%, Correct.
Test data #218: Predicted Class: p, Confidence: 100%, Correct.
Test data #219: Predicted Class: p, Confidence: 100%, Correct.
Test data #220: Predicted Class: p, Confidence: 100%, Correct.
Test data #221: Predicted Class: p, Confidence: 100%, Correct.
Test data #222: Predicted Class: p, Confidence: 100%, Correct.
Test data #223: Predicted Class: p, Confidence: 100%, Correct.
Test data #224: Predicted Class: p, Confidence: 100%, Correct.
Test data #225: Predicted Class: p, Confidence: 100%, Correct.
Test data #226: Predicted Class: p, Confidence: 100%, Correct.
Test data #227: Predicted Class: p, Confidence: 100%, Correct.
Test data #228: Predicted Class: p, Confidence: 100%, Correct.
Test data #229: Predicted Class: p, Confidence: 100%, Correct.
Test data #230: Predicted Class: p, Confidence: 100%, Correct.
Test data #231: Predicted Class: p, Confidence: 100%, Correct.
Test data #232: Predicted Class: p, Confidence: 100%, Correct.
Test data #233: Predicted Class: p, Confidence: 100%, Correct.
Test data #234: Predicted Class: p, Confidence: 100%, Correct.
Test data #235: Predicted Class: p, Confidence: 100%, Correct.
Test data #236: Predicted Class: p, Confidence: 100%, Correct.
Test data #237: Predicted Class: p, Confidence: 100%, Correct.
Test data #238: Predicted Class: p, Confidence: 100%, Correct.
Test data #239: Predicted Class: p, Confidence: 100%, Correct.
Test data #240: Predicted Class: p, Confidence: 100%, Correct.
Test data #241: Predicted Class: p, Confidence: 100%, Correct.
Test data #242: Predicted Class: p, Confidence: 100%, Correct.
Test data #243: Predicted Class: p, Confidence: 100%, Correct.
Test data #244: Predicted Class: p, Confidence: 100%, Correct.
Test data #245: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #246: Predicted Class: p, Confidence: 100%, Correct.
Test data #247: Predicted Class: p, Confidence: 100%, Correct.
Test data #248: Predicted Class: p, Confidence: 100%, Correct.
Test data #249: Predicted Class: p, Confidence: 100%, Correct.
Test data #250: Predicted Class: p, Confidence: 100%, Correct.
Test data #251: Predicted Class: p, Confidence: 100%, Correct.
Test data #252: Predicted Class: p, Confidence: 100%, Correct.
Test data #253: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #254: Predicted Class: p, Confidence: 100%, Correct.
Test data #255: Predicted Class: p, Confidence: 100%, Correct.
Test data #256: Predicted Class: p, Confidence: 100%, Correct.
Test data #257: Predicted Class: p, Confidence: 100%, Correct.
Test data #258: Predicted Class: p, Confidence: 100%, Correct.
Test data #259: Predicted Class: p, Confidence: 100%, Correct.
Test data #260: Predicted Class: p, Confidence: 100%, Correct.
Test data #261: Predicted Class: p, Confidence: 100%, Correct.
Test data #262: Predicted Class: p, Confidence: 100%, Correct.
Test data #263: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #264: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #265: Predicted Class: p, Confidence: 100%, Correct.
Test data #266: Predicted Class: p, Confidence: 100%, Correct.
Test data #267: Predicted Class: p, Confidence: 100%, Correct.
Test data #268: Predicted Class: p, Confidence: 100%, Correct.
Test data #269: Predicted Class: p, Confidence: 100%, Correct.
Test data #270: Predicted Class: p, Confidence: 100%, Correct.
Test data #271: Predicted Class: p, Confidence: 100%, Correct.
Test data #272: Predicted Class: p, Confidence: 100%, Correct.
Test data #273: Predicted Class: p, Confidence: 100%, Correct.
Test data #274: Predicted Class: p, Confidence: 100%, Correct.
Test data #275: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #276: Predicted Class: p, Confidence: 100%, Correct.
Test data #277: Predicted Class: p, Confidence: 100%, Correct.
Test data #278: Predicted Class: p, Confidence: 100%, Correct.
Test data #279: Predicted Class: p, Confidence: 100%, Correct.
Test data #280: Predicted Class: p, Confidence: 100%, Correct.
Test data #281: Predicted Class: p, Confidence: 100%, Correct.
Test data #282: Predicted Class: p, Confidence: 100%, Correct.
Test data #283: Predicted Class: p, Confidence: 100%, Correct.
Test data #284: Predicted Class: p, Confidence: 100%, Correct.
Test data #285: Predicted Class: p, Confidence: 100%, Correct.
Test data #286: Predicted Class: p, Confidence: 100%, Correct.
Test data #287: Predicted Class: p, Confidence: 100%, Correct.
Test data #288: Predicted Class: p, Confidence: 100%, Correct.
Test data #289: Predicted Class: p, Confidence: 100%, Correct.
Test data #290: Predicted Class: p, Confidence: 100%, Correct.
Test data #291: Predicted Class: p, Confidence: 100%, Correct.
Test data #292: Predicted Class: p, Confidence: 100%, Correct.
Test data #293: Predicted Class: p, Confidence: 100%, Correct.
Test data #294: Predicted Class: p, Confidence: 100%, Correct.
Test data #295: Predicted Class: p, Confidence: 100%, Correct.
Test data #296: Predicted Class: p, Confidence: 100%, Correct.
Test data #297: Predicted Class: p, Confidence: 100%, Correct.
Test data #298: Predicted Class: p, Confidence: 100%, Correct.
Test data #299: Predicted Class: p, Confidence: 100%, Correct.
Test data #300: Predicted Class: p, Confidence: 100%, Correct.
Test data #301: Predicted Class: p, Confidence: 100%, Correct.
Test data #302: Predicted Class: p, Confidence: 100%, Correct.
Test data #303: Predicted Class: p, Confidence: 100%, Correct.
Test data #304: Predicted Class: p, Confidence: 100%, Correct.
Test data #305: Predicted Class: p, Confidence: 100%, Correct.
Test data #306: Predicted Class: p, Confidence: 100%, Correct.
Test data #307: Predicted Class: p, Confidence: 100%, Correct.
Test data #308: Predicted Class: p, Confidence: 100%, Correct.
Test data #309: Predicted Class: p, Confidence: 100%, Correct.
Test data #310: Predicted Class: p, Confidence: 100%, Correct.
Test data #311: Predicted Class: p, Confidence: 100%, Correct.
Test data #312: Predicted Class: p, Confidence: 100%, Correct.
Test data #313: Predicted Class: p, Confidence: 100%, Correct.
Test data #314: Predicted Class: p, Confidence: 100%, Correct.
Test data #315: Predicted Class: p, Confidence: 100%, Correct.
Test data #316: Predicted Class: p, Confidence: 100%, Correct.
Test data #317: Predicted Class: p, Confidence: 100%, Correct.
Test data #318: Predicted Class: p, Confidence: 100%, Correct.
Test data #319: Predicted Class: p, Confidence: 100%, Correct.
Test data #320: Predicted Class: p, Confidence: 100%, Correct.
Test data #321: Predicted Class: p, Confidence: 100%, Correct.
Test data #322: Predicted Class: p, Confidence: 100%, Correct.
Test data #323: Predicted Class: p, Confidence: 100%, Correct.
Test data #324: Predicted Class: p, Confidence: 100%, Correct.
Test data #325: Predicted Class: p, Confidence: 100%, Correct.
Test data #326: Predicted Class: p, Confidence: 100%, Correct.
Test data #327: Predicted Class: p, Confidence: 100%, Correct.
Test data #328: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #329: Predicted Class: p, Confidence: 100%, Correct.
Test data #330: Predicted Class: p, Confidence: 100%, Correct.
Test data #331: Predicted Class: p, Confidence: 100%, Correct.
Test data #332: Predicted Class: p, Confidence: 100%, Correct.
Test data #333: Predicted Class: p, Confidence: 100%, Correct.
Test data #334: Predicted Class: p, Confidence: 100%, Correct.
Test data #335: Predicted Class: p, Confidence: 100%, Correct.
Test data #336: Predicted Class: p, Confidence: 100%, Correct.
Test data #337: Predicted Class: p, Confidence: 100%, Correct.
Test data #338: Predicted Class: p, Confidence: 100%, Correct.
Test data #339: Predicted Class: p, Confidence: 100%, Correct.
Test data #340: Predicted Class: p, Confidence: 100%, Correct.
Test data #341: Predicted Class: p, Confidence: 100%, Correct.
Test data #342: Predicted Class: p, Confidence: 100%, Correct.
Test data #343: Predicted Class: p, Confidence: 100%, Correct.
Test data #344: Predicted Class: p, Confidence: 100%, Correct.
Test data #345: Predicted Class: p, Confidence: 100%, Correct.
Test data #346: Predicted Class: p, Confidence: 100%, Correct.
Test data #347: Predicted Class: p, Confidence: 100%, Correct.
Test data #348: Predicted Class: p, Confidence: 100%, Correct.
Test data #349: Predicted Class: p, Confidence: 100%, Correct.
Test data #350: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #351: Predicted Class: p, Confidence: 100%, Correct.
Test data #352: Predicted Class: p, Confidence: 100%, Correct.
Test data #353: Predicted Class: p, Confidence: 100%, Correct.
Test data #354: Predicted Class: p, Confidence: 100%, Correct.
Test data #355: Predicted Class: p, Confidence: 100%, Correct.
Test data #356: Predicted Class: e, Confidence: 68.86%, Wrong.
Test data #357: Predicted Class: p, Confidence: 100%, Correct.
Test data #358: Predicted Class: p, Confidence: 100%, Correct.
Test data #359: Predicted Class: p, Confidence: 100%, Correct.
Test data #360: Predicted Class: p, Confidence: 100%, Correct.
Test data #361: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #362: Predicted Class: p, Confidence: 100%, Correct.
Test data #363: Predicted Class: p, Confidence: 100%, Correct.
Test data #364: Predicted Class: p, Confidence: 100%, Correct.
Test data #365: Predicted Class: p, Confidence: 100%, Correct.
Test data #366: Predicted Class: p, Confidence: 100%, Correct.
Test data #367: Predicted Class: p, Confidence: 100%, Correct.
Test data #368: Predicted Class: p, Confidence: 100%, Correct.
Test data #369: Predicted Class: p, Confidence: 100%, Correct.
Test data #370: Predicted Class: p, Confidence: 100%, Correct.
Test data #371: Predicted Class: p, Confidence: 100%, Correct.
Test data #372: Predicted Class: p, Confidence: 100%, Correct.
Test data #373: Predicted Class: p, Confidence: 100%, Correct.
Test data #374: Predicted Class: p, Confidence: 100%, Correct.
Test data #375: Predicted Class: p, Confidence: 100%, Correct.
Test data #376: Predicted Class: p, Confidence: 100%, Correct.
Test data #377: Predicted Class: p, Confidence: 100%, Correct.
Test data #378: Predicted Class: p, Confidence: 100%, Correct.
Test data #379: Predicted Class: p, Confidence: 100%, Correct.
Test data #380: Predicted Class: p, Confidence: 100%, Correct.
Test data #381: Predicted Class: p, Confidence: 100%, Correct.
Test data #382: Predicted Class: p, Confidence: 100%, Correct.
Test data #383: Predicted Class: p, Confidence: 100%, Correct.
Test data #384: Predicted Class: p, Confidence: 100%, Correct.
Test data #385: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #386: Predicted Class: p, Confidence: 100%, Correct.
Test data #387: Predicted Class: p, Confidence: 100%, Correct.
Test data #388: Predicted Class: p, Confidence: 100%, Correct.
Test data #389: Predicted Class: p, Confidence: 100%, Correct.
Test data #390: Predicted Class: p, Confidence: 100%, Correct.
Test data #391: Predicted Class: p, Confidence: 100%, Correct.
Test data #392: Predicted Class: p, Confidence: 100%, Correct.
Test data #393: Predicted Class: p, Confidence: 100%, Correct.
Test data #394: Predicted Class: p, Confidence: 100%, Correct.
Test data #395: Predicted Class: p, Confidence: 100%, Correct.
Test data #396: Predicted Class: p, Confidence: 100%, Correct.
Test data #397: Predicted Class: p, Confidence: 100%, Correct.
Test data #398: Predicted Class: p, Confidence: 100%, Correct.
Test data #399: Predicted Class: p, Confidence: 100%, Correct.
Test data #400: Predicted Class: p, Confidence: 100%, Correct.
Test data #401: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #402: Predicted Class: p, Confidence: 100%, Correct.
Test data #403: Predicted Class: p, Confidence: 100%, Correct.
Test data #404: Predicted Class: p, Confidence: 100%, Correct.
Test data #405: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #406: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #407: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #408: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #409: Predicted Class: p, Confidence: 100%, Correct.
Test data #410: Predicted Class: p, Confidence: 100%, Correct.
Test data #411: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #412: Predicted Class: p, Confidence: 100%, Correct.
Test data #413: Predicted Class: e, Confidence: 99.51%, Wrong.
Test data #414: Predicted Class: p, Confidence: 100%, Correct.
Test data #415: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #416: Predicted Class: p, Confidence: 100%, Correct.
Test data #417: Predicted Class: p, Confidence: 100%, Correct.
Test data #418: Predicted Class: p, Confidence: 100%, Correct.
Test data #419: Predicted Class: p, Confidence: 100%, Correct.
Test data #420: Predicted Class: p, Confidence: 100%, Correct.
Test data #421: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #422: Predicted Class: p, Confidence: 100%, Correct.
Test data #423: Predicted Class: p, Confidence: 100%, Correct.
Test data #424: Predicted Class: p, Confidence: 100%, Correct.
Test data #425: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #426: Predicted Class: p, Confidence: 100%, Correct.
Test data #427: Predicted Class: p, Confidence: 100%, Correct.
Test data #428: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #429: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #430: Predicted Class: p, Confidence: 100%, Correct.
Test data #431: Predicted Class: p, Confidence: 100%, Correct.
Test data #432: Predicted Class: p, Confidence: 100%, Correct.
Test data #433: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #434: Predicted Class: p, Confidence: 100%, Correct.
Test data #435: Predicted Class: p, Confidence: 100%, Correct.
Test data #436: Predicted Class: p, Confidence: 100%, Correct.
Test data #437: Predicted Class: p, Confidence: 100%, Correct.
Test data #438: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #439: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #440: Predicted Class: p, Confidence: 100%, Correct.
Test data #441: Predicted Class: p, Confidence: 100%, Correct.
Test data #442: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #443: Predicted Class: p, Confidence: 100%, Correct.
Test data #444: Predicted Class: p, Confidence: 100%, Correct.
Test data #445: Predicted Class: p, Confidence: 100%, Correct.
Test data #446: Predicted Class: e, Confidence: 68.86%, Wrong.
Test data #447: Predicted Class: p, Confidence: 100%, Correct.
Test data #448: Predicted Class: p, Confidence: 100%, Correct.
Test data #449: Predicted Class: p, Confidence: 100%, Correct.
Test data #450: Predicted Class: p, Confidence: 100%, Correct.
Test data #451: Predicted Class: p, Confidence: 100%, Correct.
Test data #452: Predicted Class: p, Confidence: 100%, Correct.
Test data #453: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #454: Predicted Class: p, Confidence: 100%, Correct.
Test data #455: Predicted Class: p, Confidence: 100%, Correct.
Test data #456: Predicted Class: p, Confidence: 100%, Correct.
Test data #457: Predicted Class: p, Confidence: 100%, Correct.
Test data #458: Predicted Class: p, Confidence: 100%, Correct.
Test data #459: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #460: Predicted Class: p, Confidence: 100%, Correct.
Test data #461: Predicted Class: p, Confidence: 100%, Correct.
Test data #462: Predicted Class: p, Confidence: 100%, Correct.
Test data #463: Predicted Class: p, Confidence: 100%, Correct.
Test data #464: Predicted Class: p, Confidence: 100%, Correct.
Test data #465: Predicted Class: p, Confidence: 100%, Correct.
Test data #466: Predicted Class: p, Confidence: 100%, Correct.
Test data #467: Predicted Class: p, Confidence: 100%, Correct.
Test data #468: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #469: Predicted Class: p, Confidence: 100%, Correct.
Test data #470: Predicted Class: p, Confidence: 100%, Correct.
Test data #471: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #472: Predicted Class: p, Confidence: 100%, Correct.
Test data #473: Predicted Class: p, Confidence: 100%, Correct.
Test data #474: Predicted Class: p, Confidence: 100%, Correct.
Test data #475: Predicted Class: p, Confidence: 100%, Correct.
Test data #476: Predicted Class: e, Confidence: 99.51%, Correct.
Test data #477: Predicted Class: p, Confidence: 100%, Correct.
Test data #478: Predicted Class: p, Confidence: 100%, Correct.
